half,time,team,event,away_score,home_score
2,8:34,Baylor,Jeremy Sochan Turnover.,38,76
2,8:26,Arkansas PB,Shawn Williams missed Jumper.,38,76
2,8:26,Baylor,Dale Bonner Defensive Rebound.,38,76
2,8:04,Arkansas PB,Foul on Isaiah Haralson.,38,76
2,8:04,Baylor,LJ Cryer missed Free Throw.,38,76
2,8:04,Baylor,Baylor Deadball Team Rebound.,38,76
2,8:04,Baylor,LJ Cryer made Free Throw.,38,77
2,7:47,Baylor,Foul on Dale Bonner.,38,77
2,7:47,Baylor,Official TV Timeout,38,77
2,7:47,Arkansas PB,Kylen Milton made Free Throw.,39,77
2,7:47,Arkansas PB,Kylen Milton missed Free Throw.,39,77
2,7:47,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,39,77
2,7:40,Baylor,Jonathan Tchamwa Tchatchoua made Layup. Assisted by Dale Bonner.,39,79
2,7:31,Baylor,Foul on Jonathan Tchamwa Tchatchoua.,39,79
2,7:24,Baylor,Foul on Zach Loveday.,39,79
2,7:24,Arkansas PB,Kylen Milton made Free Throw.,40,79
2,7:24,Arkansas PB,Kylen Milton made Free Throw.,41,79
2,7:18,Baylor,Flo Thamba made Dunk. Assisted by Jordan Turner.,41,81
2,7:02,Arkansas PB,Kylen Milton Turnover.,41,81
2,6:45,Baylor,LJ Cryer made Layup.,41,83
2,6:27,Arkansas PB,Isaiah Haralson missed Three Point Jumper.,41,83
2,6:27,Baylor,Flo Thamba Defensive Rebound.,41,83
2,6:21,Baylor,LJ Cryer made Three Point Jumper.,41,86
2,5:58,Arkansas PB,Shawn Williams Turnover.,41,86
2,5:58,Baylor,Flo Thamba Steal.,41,86
2,5:54,Baylor,Zach Loveday made Three Point Jumper. Assisted by Jordan Turner.,41,89
2,5:22,Arkansas PB,Shawn Williams missed Jumper.,41,89
2,5:22,Baylor,Zach Loveday Defensive Rebound.,41,89
2,4:57,Baylor,LJ Cryer Turnover.,41,89
2,4:43,Arkansas PB,Travonta Doolittle missed Three Point Jumper.,41,89
2,4:43,Baylor,Flo Thamba Defensive Rebound.,41,89
2,4:20,Baylor,Zach Loveday missed Three Point Jumper.,41,89
2,4:20,Baylor,Jordan Turner Offensive Rebound.,41,89
2,4:03,Baylor,Jordan Turner missed Three Point Jumper.,41,89
2,4:03,Baylor,Flo Thamba Offensive Rebound.,41,89
2,3:56,Baylor,Zach Loveday made Dunk. Assisted by Flo Thamba.,41,91
2,3:46,Arkansas PB,Brandon Brown made Layup.,43,91
2,3:24,Arkansas PB,Foul on AJ Stredic.,43,91
2,3:24,Baylor,Official TV Timeout,43,91
2,3:24,Baylor,Flo Thamba missed Free Throw.,43,91
2,3:24,Baylor,Baylor Deadball Team Rebound.,43,91
2,3:24,Baylor,Flo Thamba missed Free Throw.,43,91
2,3:24,Arkansas PB,Arkansas-Pine Bluff Defensive Rebound.,43,91
2,3:04,Baylor,Foul on Mitchell Paul.,43,91
2,3:04,Arkansas PB,Brandon Brown made Free Throw.,44,91
2,3:04,Arkansas PB,Brandon Brown made Free Throw.,45,91
2,2:46,Baylor,Dale Bonner missed Layup.,45,91
2,2:46,Baylor,Zach Loveday Offensive Rebound.,45,91
2,2:46,Baylor,Zach Loveday missed Layup.,45,91
2,2:46,Arkansas PB,Amadou Fall Defensive Rebound.,45,91
2,2:26,Arkansas PB,Amadou Fall made Layup. Assisted by Gabriel Vargas.,47,91
2,2:26,Baylor,Foul on Zach Loveday.,47,91
2,2:26,Arkansas PB,Amadou Fall made Free Throw.,48,91
2,2:13,Baylor,Dale Bonner missed Three Point Jumper.,48,91
2,2:13,Arkansas PB,AJ Stredic Defensive Rebound.,48,91
2,2:05,Arkansas PB,AJ Stredic Turnover.,48,91
